棒棰	棒槌
謊謬絕倫	荒謬絕倫
豆寇年華	豆蔻年華
學子	學字
殘無人道	慘無人道
有趣的說到	有趣地說到
廢盡心思	費盡心思
粘稠	黏稠
稱做	稱作
原子幅射	原子輻射
刻己奉公	克己奉公
照篇	照片
帶欠缺	但欠缺
忿忿	憤憤
發楊廣大	發揚光大
非常的寶貴	非常地寶貴
鐺鐺	噹噹
表達的是	表達的事
獨劈蹊徑	獨闢蹊徑
子豬	仔豬
做弊	作弊
佑對	有對
棒錘	棒槌
言簡意該	言簡意賅
不宵一顧	不屑一顧
侈糜	侈靡
汗流夾背	汗流浹背
履險如宜	履險如夷
寒喧	寒暄
錮疾	痼疾
建慷	健康
單純的說	單純地說
而截	而且
混身	渾身
手急眼快	手疾眼快
注在	住在
記念	紀念
萬相更新	萬象更新
下了可	下了課
筆劃	筆畫
根林美美去	跟林美美去
餲得不得了	渴得不得了
趼子	繭子
決對服從	絕對服從
不惶顧及	不遑顧及
佳賓滿座	嘉賓滿座
死不冥目	死不瞑目
洪篇鉅製	鴻篇鉅製
按居樂業	安居樂業
色採	色彩
大學肆業	大學肄業
聲名雀起	聲名鵲起
奴生	女生
夙儒	宿儒
泄祕	泄密
眼靚	眼睛
既使如此	即使如此
改弦易章	改弦易張
出類拔粹	出類拔萃
杯盤狼籍	杯盤狼藉
一把很大的化	一把很大的花
伶牙利齒	伶牙俐齒
殺費苦心	煞費苦心
褻贖	褻瀆
羅紋	螺紋
鳩佔雀巢	鳩佔鵲巢
推心至腹	推心置腹
柱着柺杖	拄着柺杖
子棉	籽棉
血濃與水	血濃於水
反覆	反覆
身體贏弱	身體羸弱
再開一個好把	再開一個好吧
以老賣老	倚老賣老
志大材疏	志大才疏
熱惱	熱鬧
稅覺	睡覺
寄怪	奇怪
惟我獨尊	唯我獨尊
他得生活費	他的生活費
留芳百世	流芳百世
蔘加	參加
平空	憑空
好好地經驗	好好的經驗
脹紅了臉	漲紅了臉
賽翁失馬	塞翁失馬
幸福快樂的過	幸福快樂地過
無寧	毋寧
義氣用事	意氣用事
蛛絲螞跡	蛛絲馬跡
定期會悟	定期會晤
讀書扎記	讀書札記
灸手可熱	炙手可熱
殘篇斷簡	殘編斷簡
哆唆	哆嗦
做聲	作聲
狼籍	狼藉
警張	緊張
各書己見	各抒己見
高官厚錄	高官厚祿
額首稱慶	額手稱慶
追本朔源	追本溯源
做公車	坐公車
小子化	少子化
源料	原料
岡來	剛來
不徑而走	不脛而走
摸棱兩可	模棱兩可
既往開來	繼往開來
器宇軒昂	氣宇軒昂
物極必返	物極必反
藊豆	扁豆
重重迭迭	重重疊疊
一層不變	一成不變
書聲琅朗	書聲琅琅
找的時間	找個時間
想往光明	嚮往光明
去萬	去玩
集液成裘	集腋成裘
走天	昨天
管哩	管理
澳是	要是
談笑風聲	談笑風生
子細	仔細
理物	禮物
萬古留芳	萬古流芳
投鼠計器	投鼠忌器
按納	按捺
梯己	體己
綱紀廢馳	綱紀廢弛
尤如猛虎下山	猶如猛虎下山
義氣風發	意氣風發
東四	東西
貴定	規定
卑卻	卑怯
舔犢情深	舐犢情深
縱橫捭合	縱橫捭闔
縐紋	皺紋
粘土	黏土
只有妳	只有你
和靄可親	和藹可親
很好得一份工作	很好的一份工作
捨身取義	捨生取義
真得是壞人	真的是壞人
捉襟見紂	捉襟見肘
還沒作	還沒做
棵粒歸倉	顆粒歸倉
嚴懲不待	嚴懲不貸
可望不可及	可望不可即
混水摸魚	渾水摸魚
保母	保姆
清賣給我	請買給我
悲忿	悲憤
懲一禁百	懲一儆百
惡慣滿盈	惡貫滿盈
魚具	漁具
題綱挈領	提綱挈領
艱苦撲素	艱苦樸素
色勵內荏	色厲內荏
有孔	有空
聲勢赫弈	聲勢赫奕
搭當	搭檔
火者站	火車站
勾聯	勾連
目不瑕接	目不暇接
風聲鶴戾	風聲鶴唳
倔犟	倔強
年輕得夫婦	年輕的夫婦
虎視耽耽	虎視眈眈
斧底抽薪	釜底抽薪
辨白	辯白
食不果腹	食不裹腹
摔交	摔跤
項練	項鍊
負單	負擔
元來	原來
讚歎不己	讚歎不已
一闕	一闋
來我的家完	來我的家玩
裝璜	裝潢
孤伶伶	孤零零
佈署已定	部署已定
候門似海	侯門似海
圖窮匕現	圖窮匕見
痛心嫉首	痛心疾首
對阿	對啊
沒人琣他	沒人陪他
展轉	輾轉
猶柔寡斷	優柔寡斷
黯無天日	暗無天日
搭擋	搭檔
照成	造成
年少氣勝	年少氣盛
應接不遐	應接不暇
疾賢妒能	嫉賢妒能
熱心的不得了	熱心得不得了
委屈求全	委曲求全
高心	高興
蜂涌而至	蜂擁而至
火伴	夥伴
很哩	很累
閃爍其辭	閃爍其詞
寡不抵衆	寡不敵衆
憤悶不平	憤懣不平
青少年門	青少年們
感恩載德	感恩戴德
原形必露	原形畢露
親愛的少年門	親愛的少年們
伏侍	服侍
隨聲附合	隨聲附和
裝腔做勢	裝腔作勢
馬糊	馬虎
末齒不忘	沒齒不忘
行成	形成
瘜肉	息肉
看做	看作
焚膏既晷	焚膏繼晷
描模	描摹
丁寧	叮嚀
不詳之兆	不祥之兆
冷不妨	冷不防
翁中捉鱉	甕中捉鱉
號嗎	號碼
混爲一團	混爲一談
搔癢病	瘙癢病
衣衿	衣襟
怎門辦	怎麼辦
貳心	二心
書寫了草	書寫潦草
紹待卡	招待卡
躍武揚威	耀武揚威
波瀾	波蘭
轂轆	軲轆
座落	坐落
厲害關係	利害關係
戶然	忽然
清假	請假
政符	政府
艱壁清野	堅壁清野
刻劃人物	刻畫人物
漂零	飄零
換給	還給
澹泊	淡泊
雕謝	凋謝
孤苦零丁	孤苦伶仃
真象	真相
一勞永易	一勞永逸
一毛不陪	一毛不賠
綜合症	綜合徵
幅射	輻射
略見一般	略見一斑
玩着玩者	玩着玩着
越俎代包	越俎代庖
按裝	安裝
觥疇交錯	觥籌交錯
列子	例子
李佬時	李老師
夙來	素來
事情阿	事情啊
反工重來	返工重來
裏拜天	禮拜天
喝倒采	喝倒彩
板上走丸	阪上走丸
老聲常談	老生常談
考良	考量
已後	以後
即然	既然
酒鍾	酒盅
勵行節約	厲行節約
無所不致	無所不至
曲指可數	屈指可數
滄茫大海	蒼茫大海
老師文學生	老師問學生
多餘	多於
磨崖石刻	摩崖石刻
不貽餘力	不遺餘力
無恥之猶	無恥之尤
林美妹	林美美
循規導矩	循規蹈矩
估名釣譽	沽名釣譽
層巒迭障	層巒疊嶂
原物必還	原物璧還
澄徹	澄澈
剝歇	剝削
養小還	養小孩
不可望	不可忘
低免	抵免
渙然一新	煥然一新
寄與	寄予
做美	作美
措火積薪	厝火積薪
當人不讓	當仁不讓
追朔	追溯
機伶	機靈
天禮難容	天理難容
以德抱怨	以報抱怨
打臘	打蠟
肆無忌殫	肆無忌憚
所擔任的是有限	所擔任的事有限
圖象	圖像
白壁微瑕	白璧微瑕
金剛努目	金剛怒目
纏能收割	才能收割
塌實	踏實
意正詞嚴	義正詞嚴
退色	褪色
蟠根錯節	盤根錯節
受與獎章	授與獎章
紳仕	紳士
巍然仡立	巍然屹立
浮圖	浮屠
輻湊	輻輳
姿式	姿勢
自起	自己
撘公車	搭公車
攻城掠地	攻城略地
金榜提名	金榜題名
再波蘭	在波蘭
班駁	斑駁
三翻五次	三番五次
尾大不弔	尾大不掉
旁皇	彷徨
輩份	輩分
不卑不吭	不卑不亢
磨肩擦背	摩肩擦背
枝解	肢解
不局道	不知道
蕉萃	憔悴
飄流	漂流
賢慧	賢惠
心恢意懶	心灰意懶
欲妄	慾望
了所學校	各所學校
直捷了當	直截了當
戒驕戒燥	戒驕戒躁
一讓	一樣
巧裝打扮	喬裝打扮
百年傢俱	百年家居
真得	值得
籲寒問暖	噓寒問暖
生濟	生計
出奇致勝	出奇制勝
風京	風景
淹沒不聞	湮沒不聞
破錠百出	破綻百出
又高又受	又高又瘦
顯身說法	現身說法
眼花暸亂	眼花繚亂
一蓋而論	一概而論
懸樑刺骨	懸樑刺股
大放獗詞	大放厥詞
髒款	贓款
作些政策	做些政策
防礙	妨礙
扇風點火	煽風點火
富麗唐皇	富麗堂皇
震聾發聵	振聾發聵
日蝕	日食
舉世振驚	舉世震驚
餵了	爲了
脫離萍	脫離貧
盅惑人心	蠱惑人心
一涌而入	一擁而入
人心項背	人心向背
臥是李	我是李
有效的規劃	有效地規劃
分道揚標	分道揚鑣
厲精圖治	勵精圖治
絀絀逼人	咄咄逼人
頭昏腦脹	頭昏腦漲
式樣新潁	式樣新穎
發人深醒	發人深省
玩世不公	玩世不恭
手溜彈	手榴彈
金壁輝煌	金碧輝煌
但靠一份收入	單靠一份收入
原意	願意
沙魚	鯊魚
不驕不燥	不驕不躁
視閾	視域
禮上往來	禮尚往來
處裏	處理
靠事	考試
橫衝直闖	橫衝直撞
憂柔寡斷	優柔寡斷
瑕邇聞名	遐邇聞名
謀畫	謀劃
獨腳戲	獨角戲
藍縷	襤褸
嬈幸生還	僥倖生還
積思廣益	集思廣益
恭惟	恭維
按步就班	按部就班
更疊	更迭
慢道	漫道
忿恨	憤恨
磨擦	摩擦
令人發指	令人髮指
重要得東西	重要的東西
永決	永訣
按磨	按摩
一脈相成	一脈相承
龍盤虎據	龍盤虎踞
低徊	低迴
水瀉不通	水泄不通
經張	緊張
跚跚來遲	姍姍來遲
坐位	座位
成份	成分
惺鬆	惺忪
無尚光榮	無上光榮
危言悚聽	危言聳聽
伏罪	服罪
但然	當然
餘輝	餘暉
落莫	落寞
尋序漸進	循序漸進
重迭	重疊
飄渺	縹緲
坐次	座次
恰商	洽商
深明大意	深明大義
妳會時後	妳回時候
沈思	沉思
沙糖	砂糖
因發	引發
親睞	青睞
弘願	宏願
萬籟具寂	萬籟俱寂
控的時間	空的時間
冒天下之大不諱	冒天下之大不韙
窮途沒路	窮途末路
沽惡不悛	怙惡不悛
暗度陳倉	暗渡陳倉
貽然自得	怡然自得
伏法	服法
依服	衣服
組寵物的人	租寵物的人
坐地分髒	坐地分贓
梳裝打扮	梳妝打扮
變換莫測	變幻莫測
神聖壯嚴	神聖莊嚴
蜂涌而上	蜂擁而上
連翩	聯翩
珠連璧合	珠聯璧合
一枕黃梁	一枕黃粱
震憾人心	震撼人心
滿臉縐紋	滿臉皺紋
上免得分析	上面的分析
山查	山楂
循規韜矩	循規蹈矩
一後	以後
氣勢滂礴	氣勢磅礴
浮光略影	浮光掠影
委屈求全	委屈求曲
開興	開心
每辦法	沒辦法
粘液	黏液
米珠薪貴	米珠薪桂
自即	自己
我要座得巴士	我要坐的巴士
鼎立相助	鼎力相助
霪雨	淫雨
大有稗益	大有裨益
告戒	告誡
鉤勒	勾勒
做二九七的公車	坐二九七的公車
漂渺	縹緲
上方寶劍	尚方寶劍
趨炎赴勢	趨炎附勢
昭顯機	照相機
名列前矛	名列前茅
嫉惡如仇	疾惡如仇
居心不測	居心叵測
以開發地區	已開發地區
大幅度的提升	大幅度地提升
掱手	扒手
按裝機器	安裝機器
挑撥事非	挑撥是非
真的事對	真的是對
生上	身上
手頭寬餘	手頭寬裕
既往不究	既往不咎
調以輕心	掉以輕心
中裁	仲裁
振筆急書	振筆疾書
美里	美麗
更古未有	亙古未有
無可耐何	無可奈何
承上起下	承上啓下
我回想妳們	我會想你們
難德	南德
裁板	裁判
大壩合攏	大壩合龍
震震有詞	振振有詞
喜孜孜	喜滋滋
蓬壁增輝	蓬蓽增輝
能曲能伸	能屈能伸
報導	報道
支無其詞	支吾其詞
五癆七傷	五勞七傷
恍忽	恍惚
不作爲訓	不足爲訓
一張一馳	一張一弛
揣揣不安	惴惴不安
鍾就	終究
無動於中	無動於衷
勞天	聊天
茄克	夾克
悼辭	悼詞
惡意咀咒	惡意詛咒
清流	請留
蟄人	蜇人
分付	吩咐
衣著	衣着
鬼域伎倆	鬼蜮伎倆
自然而然的	自然而然地
鳳毛鱗角	鳳毛麟角
鯁直	耿直
耳儒目染	耳濡目染
雲豆	芸豆
五體頭地	五體投地
騰她	等她
宏福齊天	洪福齊天
惟獨	唯獨
上果	上課
獨闢溪徑	獨闢蹊徑
因噎費食	因噎廢食
珍重其事	鄭重其事
風雲變換	風雲變幻
供獻巨大	貢獻巨大
人材	人才
報怨不堪	抱怨不堪
降龍服虎	降龍伏虎
點視機	電視機
百廢具興	百廢俱興
元元本本	原原本本
糜日不思	靡日不思
憂心沖沖	憂心忡忡
嬰而	嬰兒
考利以下	考慮一下
閃爍其詞	閃爍其辭
嚴懲不怠	嚴懲不貸
立杆見影	立竿見影
雷歷風行	雷厲風行
虎魄	琥珀
成績蜚然	成績斐然
令人恐布	令人恐怖
搖搖欲墮	搖搖欲墜
劈謠	闢謠
翻覆無常	反覆無常
移花截木	移花接木
風糜一時	風靡一時
委宛	委婉
轟堂大笑	鬨堂大笑
侯車室	候車室
奇給我	寄給我
下明	小明
得壟望蜀	得隴望蜀
動轍得咎	動輒得咎
藕斷絲聯	藕斷絲連
諄諄告戒	諄諄告誡
萬古常青	萬古長青
濫芋充數	濫竽充數
票亮	漂亮
一諾千斤	一諾千金
不斷的增加	不斷地增加
我借你們	我接你們
首坐	首座
浸人心脾	沁人心脾
一泄千里	一瀉千里
歪門斜道	歪門邪道
堅如盤石	堅如磐石
始終不遇	始終不渝
風塵僕撲	風塵僕僕
魚鼓	漁鼓
偷工簡料	偷工減料
門坎	門檻
生體	身體
勢不可擋	勢不可當
辰己午未	辰巳午未
含糊其詞	含糊其辭
蘇嘉	暑假
判辭	判詞
子粒	籽粒
踏青我們	他請我們
錯手不及	措手不及
毛骨聳然	毛骨悚然
一見衷情	一見鍾情
當做	當作
編者案	編者按
既使	即使
面面具到	面面俱到
改弦更章	改弦更張
永往直前	勇往直前
名珠暗投	明珠暗投
天翻地覆	天翻地覆
保鑣	保鏢
闇然淚下	黯然淚下
厲害得失	利害得失
壅榮華貴	雍榮華貴
完五月	玩五月
錄行	旅行
病入膏盲	病入肓盲
卑恭屈膝	卑躬屈膝
暴光	曝光
潛然淚下	潸然淚下
重整旗鼓	重振旗鼓
暗然失色	黯然失色
生靈塗碳	生靈塗炭
比分板平	比分扳平
定戶	訂戶
逗遛	逗留
西歡	喜歡
唯命是從	惟命是從
從是	總是
蝦蟆	蛤蟆
甘之如怡	甘之如飴
潑浪鼓	撥浪鼓
淪肌夾髓	淪肌浹髓
少字化	少子化
穿流不息	川流不息
凋蟲小技	雕蟲小技
氣門心	氣門芯
箴口不言	緘口不言
一語破地	一語破的
詞令	辭令
富麗堂黃	富麗堂皇
文謅謅	文縐縐
微信	微信
分庭抗理	分庭抗禮
輟句成文	綴句成文
堅幀不移	堅貞不移
槍枝	槍支
倉遑	倉皇
獨佔螯頭	獨佔鰲頭
羊羯子	羊蠍子
情不自盡	情不自禁
倒楣	倒黴
一竊不通	一竅不通
脈胳分明	脈絡分明
語無綸次	語無倫次
憤筆急書	奮筆疾書
自我吹籲	自我吹噓
歷精圖治	勵精圖治
爆亂	暴亂
沙漿	砂漿
題高	提高
零丁	伶仃
延襲成規	沿襲成規
泄藥	瀉藥
孤另另	孤零零
委屈婉轉	委曲婉轉
改很多幼稚園	蓋很多幼稚園
全面的規劃	全面地規劃
即然如此	既然如此
大姆指	大拇指
一整天水樂	一整天睡了
鍾靈玉秀	鍾靈毓秀
賀辭	賀詞
源源本本	原原本本
針炙療法	鍼灸療法
最前的子	最前的字
散逸	散佚
曲高合寡	曲高和寡
認罪服法	認罪伏法
架式	架勢
票漂亮亮	漂漂亮亮
份內之事	分內之事
通貨澎脹	通貨膨脹
照本宣課	照本宣科
杆快	趕快
本份	本分
稍事擔擱	稍事耽擱
沾着	站着
鞠躬盡粹	鞠躬盡瘁
等以等	等一等
佳言懿行	嘉言懿行
水利發電	水力發電
苦思瞑想	苦思冥想
抓耳擾腮	抓耳撓腮
醮水	蘸水
課目	科目
阿諛奉迎	阿諛逢迎
殉私舞弊	徇私舞弊
僱傭	僱用
肺腹之言	肺腑之言
茫無頭序	茫無頭緒
做月子	坐月子
工程峻工	工程竣工
鬼鬼崇崇	鬼鬼祟祟
嚴陣以代	嚴陣以待
早藏	早上
褓姆	保姆
小題大作	小題大做
異曲同功	異曲同工
播愛	博愛
枝梧	支吾
引起反映	引起反應
坐者	坐着
夙怨	宿怨
蹓彎兒	遛彎兒
大傷原氣	大傷元氣
爆躁	暴躁
泊來品	舶來品
出謀畫策	出謀劃策
旁證博引	旁徵博引
以逸代勞	以逸待勞
裨官野史	稗官野史
成功的制定	成功地制定
語無論次	語無倫次
無細可乘	無隙可乘
鬧轟轟	鬧哄哄
夢饜	夢魘
捶心泣血	椎心泣血
英雄氣慨	英雄氣概
仔細的觀察	仔細地觀察
蒼海桑田	滄海桑田
污七八糟	烏七八糟
濯發難數	擢髮難數
細大不涓	細大不捐
真知卓見	真知灼見
跟美	很美
天網詼詼	天網恢恢
打躬作楫	打躬作揖
劃地爲牢	畫地爲牢
憤世疾俗	憤世嫉俗
深符衆望	深孚衆望
參家	參加
密而不宣	祕而不宣
靡爛不堪	糜爛不堪
多付出地幾十倍	多付出的幾十倍
鳩合	糾合
不寒而立	不寒而慄
反來複去	反來覆去
乎很大的吸	呼很大的吸
雕弊	凋敝
嘆爲觀之	歎爲觀止
無獨有隅	無獨有偶
自食其利	自食其力
踟躇	踟躕
疏峻	疏浚
留連	流連
落腮鬍子	絡腮鬍子
模寫	摹寫
金毆無缺	金甌無缺
吧手	把手
轅動比賽	運動比賽
言之足足	言之鑿鑿
緊褲	辛苦
高行	高興
步入正規	步入正軌
輕歌慢舞	輕歌曼舞
不好以時	不好意思
化錢	花錢
少子華	少子化
冬天件	冬天間
壓韻	押韻
真恭喜妳阿	真恭喜妳啊
硬梆梆	硬邦邦
計劃慎密	計劃縝密
山青水秀	山清水秀
聞過飾非	文過飾非
擁塞不通	擁壅不通
筆心	筆芯
莊況	狀況
退化變質	蛻化變質
瞳人	瞳仁
募然	驀然
出們	出門
殺戳	殺戮
喧然大波	軒然大波
常不一樣	穿不一樣
鳳冠霞披	鳳冠霞帔
把輸給弄丟	把書給弄丟
消遙法外	消逍法外
半途而費	半途而廢
磬竹難書	罄竹難書
粗製亂造	粗製濫造
鳩集	糾集
御手	馭手
浪廢水	浪費水
魔難	磨難
有口皆杯	有口皆碑
干與	干預
合衷共濟	和衷共濟
不拘導	不知道
含蓄蘊籍	含蓄蘊藉
綱來	剛來
蜇居	蟄居
工課	功課
計錄	記錄
無理漫罵	無理謾罵
無所是從	無所適從
負擔地因素	負擔的因素
列出題綱	列出提綱
腳門	角門
擬越來越漂亮	妳越來越漂亮
有處	有趣
棄甲拽兵	棄甲曳兵
慘遭屠戳	慘遭屠戮
四班牙	西班牙
後發治人	後發制人
坐右銘	座右銘
根冒	感冒
岑麼樣	怎麼樣
梅天	每天
強辭奪理	強詞奪理
天崩地折	天崩地坼
蓽路藍縷	篳路藍縷
無以附加	無以復加
忘夫所以	忘乎所以
火中取粟	火中取栗
番然悔悟	翻然悔悟
休葸	休息
並行不背	並行不悖
再起牀呢	在起牀呢
總明	聰明
非常的珍貴	非常地珍貴
伸雪	申雪
甚麼	什麼
峨嵋山	峨眉山
泰泰	太太
趁心	稱心
考食物	烤食物
燦然一笑	粲然一笑
小還	小孩
出奇不意	出其不意
延後	然後
班配	般配
氣個月	七個月
插科打渾	插科打諢
玷親帶故	沾親帶故
連袂	聯袂
莫中一是	莫衷一是
開心得	開心地
埤酒	啤酒
情坐	請坐
粘性	黏性
決無僅有	絕無僅有
熱呼呼	熱乎乎
報道總裁	霸道總裁
箇中各樣	各種各樣
麻庳大意	麻痹大意
修茸一新	修葺一新
置若惘聞	置若罔聞
名落深山	名落孫山
慢不經心	漫不經心
發憤忘食	發奮忘食
精神矍爍	精神矍鑠
沒有控	沒有空
烤師	考試
震憾	震撼
明查秋毫	明察秋毫
鈕釦	鈕釦
死心踏地	死心塌地
打冷顫	打冷戰
下車一始	下車伊始
雨聲浙瀝	雨聲淅瀝
籌畫	籌劃
一促而就	一促而蹴
坦胸露臂	袒胸露臂
心安禮得	心安理得
淋漓盡至	淋漓盡致
粘豆包	黏豆包
坐無虛席	座無虛席
造事者	肇事者
刻日	剋日
中國共產常	中國共產黨
省分	省份
發生國	發生過
定單	訂單
卓智多謀	足智多謀
座標系	座標系
娘兩	娘倆
百戰不貽	百戰不殆
篷蓽生輝	蓬蓽生輝
此係膺品	此係贗品
負嵎頑抗	負隅頑抗
星羅旗布	星羅棋佈
千頭萬序	千頭萬緒
部份	部分
運籌惟幄	運籌帷幄
託咐	託付
溟溟	冥冥
脈膊微弱	脈搏微弱
無庸	毋庸
以身徇國	以身殉國
普便	普遍
堅韌不拔	堅忍不拔
鄭加	增加
以一擋十	以一當十
天下糜然	天下靡然
佶屈騖牙	佶屈聱牙
沉緬往事	沉湎往事
薄暮冥冥	薄暮暝暝
開門緝盜	開門揖盜
以開發	已開發
最有名的採	最有名的菜
執謎不悟	執迷不悟
覆信	覆信
惟命是從	唯命是從
煤碳	煤炭
金鋼鑽頭	金剛鑽頭
鬨動	轟動
勇敢得	勇敢地
世外桃園	世外桃源
富麗堂惶	富麗堂皇
噠噠	嗒嗒
豐功偉跡	豐功偉績
以偏蓋全	以偏概全
秀外惠中	秀外慧中
支解	肢解
夫倡婦隨	夫唱婦隨
流覽一遍	瀏覽一遍
除去完	出去玩
嘍羅	嘍囉
驃肥體壯	膘肥體壯
其樂淘淘	其樂陶陶
紅通通	紅彤彤
奴朋友	女朋友
感在	改在
思辯	思辨
飛機着落	飛機着陸
驃了	漂亮
舉家遷徒	舉家遷徙
心懷巨測	心懷叵測
殉情枉法	徇情枉法
良晨美景	良辰美景
無精打彩	無精打采
冠勉堂皇	冠冕堂皇
蹀血	喋血
怎麼形成地	怎麼形成的
火山暴發	火山爆發
裏拜	禮拜
爆發	暴發
麻木不忍	麻木不仁
處心集慮	處心積慮
隕身不恤	殞身不恤
傳頌一時	傳誦一時
正經八擺	正經八百
黃樑美夢	黃粱美夢
吃葚麼	吃什麼
心心相應	心心相印
也雪	也許
噏動	翕動
匍伏	匍匐
一如繼往	一如既往
罪不及奴	罪不及孥
孤芳自償	孤芳自賞
原故	緣故
精誠所致	精誠所至
歪風斜氣	歪風邪氣
菜子	菜籽
幸苦	辛苦
故技	故伎
信口開合	信口開河
墨守陳規	墨守成規
休息一點	休息一天
引伸義	引申義
神甫	神父
旋渦	漩渦
敲榨勒索	敲詐勒索
民生凋蔽	民生凋敝
唷意思	有意思
貌和神離	貌合神離
盤石	磐石
花狸狐哨	花裏胡哨
梢公	艄公
渾渾惡惡	渾渾噩噩
察顏觀色	察言觀色
神氣凌人	盛氣凌人
已定	一定
念道	唸叨
至到	直到
燈心	燈芯
帶孝	戴孝
一間一間的在建造	一間一間地在建造
痿靡不振	萎靡不振
留連忘返	流連忘返
鞭闢入理	鞭辟入裏
熱呼	熱乎
雄材大略	雄才大略
聯接	連接
蠟梅盛開	臘梅盛開
題辭	題詞
興高彩烈	興高采烈
像貌	相貌
憶起去	一起去
迫不急待	迫不及待
含辛如苦	含辛茹苦
不拘小結	不拘小節
萬事享通	萬事亨通
滔光養晦	韜光養晦
一支狗	一隻狗
涵蓄	含蓄
功虧一蕢	功虧一簣
一口同聲	異口同聲
提綱攜領	提綱挈領
藏詬納污	藏垢納污
坻裏	地理
戮力同心	勠力同心
東施效頻	東施效顰
粗枝大意	粗枝大葉
從常計議	從長計議
誅連無辜	株連無辜
言簡意駭	言簡意賅
聊體	聊天
圓丁	園丁
皎皎者	佼佼者
羽扇倫巾	羽扇綸巾
長愛文	張愛文
胡塗	糊塗
沆泄一氣	沆韰一氣
觀磨教學	觀摩教學
互相推委	互相推諉
買牘還珠	買櫝還珠
未普邊	未普遍
比年長者來的多	比年長者來得多
啓錨	起錨
大摟	大樓
迷天大謊	彌天大謊
門廷若市	門庭若市
交待	交代
發楞	發愣
文花	文化
痲風	麻風
恨情張	很緊張
皮簧	皮黃
心勞日絀	心勞日拙
建在	現在
滿山遍野	漫山遍野
美侖美奐	美輪美奐
誓死如歸	視死如歸
化學反映	化學反應
同等學歷	同等學力
名門旺族	名門望族
名子	名字
直接的被感受	直接地被感受
放便	方便
金石可褸	金石可鏤
學習地意願	學習的意願
嚴正申明	嚴正聲明
答訕	搭訕
個紓	個數
紋身	文身
而接	而且
不知所錯	不知所措
磁器	瓷器
短小精幹	短小精悍
定貨	訂貨
月蝕	月食
驀捐	募捐
招莫	招募
滿頭大漢	滿頭大汗
弦律	旋律
作賊心虛	做賊心虛
公克	功課
玩藝兒	玩意兒
原由	緣由
褡聯	褡褳
辛虧	幸虧
而以	而已
理面	裏面
枓拱	斗拱
獨具惠眼	獨具慧眼
寒傖	寒磣
不言而語	不言而喻
還壁歸趙	還璧歸趙
這樣以來	這樣一來
體晾	體諒
壓寶	押寶
萹豆	扁豆
清徹見底	清澈見底
斬釘接鐵	斬釘截鐵
豐富多采	豐富多彩
系望	希望
大聲急呼	大聲疾呼
摹擬	模擬
知書達禮	知書達理
封妻陰子	封妻廕子
癡心忘想	癡心妄想
譽寫文章	謄寫文章
宣染	渲染
弘論	宏論
曾加	增加
瞭望	瞭望
內鬨	內訌
那理	那裏
累墜	累贅
消魂	銷魂
戰戰驚驚	戰戰兢兢
自名不凡	自命不凡
警省	警醒
慶祝地會	慶祝的會
歸根結柢	歸根結底
愛帶	愛戴
題及	提及
風彩動人	風釆動人
不經而走	不脛而走
步人正規	步人正軌
繁文溽節	繁文縟節
長其	長期
爆動	暴動
胡蝶	蝴蝶
聲音宏亮	聲音洪亮
適當的生育	適當地生育
輪功行賞	論功行賞
勾劃	勾畫
淹沒無聞	湮沒無聞
憤發圖強	奮發圖強
爛熳	爛漫
班白	斑白
白璧微暇	白璧微瑕
評頭評足	品頭評足
首當其充	首當其衝
謀取暴利	牟取暴利
答覆	答覆
六根禮拜日	六跟禮拜日
渾玉樸金	渾玉璞金
啞雀無聲	鴉雀無聲
脫潁而出	脫穎而出
擠擠一堂	濟濟一堂
殞落	隕落
甘冒不諱	甘冒不韙
合盤托出	和盤托出
完壁歸趙	完璧歸趙
窮兵瀆武	窮兵黷武
因地治宜	因地制宜
治逾疾病	治癒疾病
做八八的公車	坐八八的公車
痲痹	麻痹
桀傲不馴	桀驁不馴
贏餘	盈餘
不加思索	不假思索
遣辭	遣詞
渲泄	宣泄
才陪吵醒	才被吵醒
稟承	秉承
材華	才華
闊老	闊佬
無計之談	無稽之談
紅虹	紅紅
暮藹沉沉	暮靄沉沉
羈靡	羈縻
漚心瀝血	嘔心瀝血
默守成規	墨守成規
臨摩書法	臨摹書法
照然若揭	昭然若揭
解我的朋友	請我的朋友
獨擋一面	獨當一面
開時	開始
入不付出	入不敷出
弘旨	宏旨
錯落有制	錯落有致
份內	分內
度過難關	渡過難關
一刀兩段	一刀兩斷
頂力相助	鼎力相助
信口詞黃	信口雌黃
材華橫溢	才華橫溢
如梗在喉	如鯁在喉
令人目炫	令人目眩
記憶尤新	記憶猶新
尉然成風	蔚然成風
不智道	不知道
痲疹	麻疹
褡連	褡褳
淄銖必較	錙銖必較
地大物搏	地大物博
九洲	九州
吹毛求刺	吹毛求疵
彬彬有理	彬彬有禮
驃悍	剽悍
聯綴	連綴
幾希	繼續
好高務遠	好高騖遠
漂涼	漂亮
妄費心機	枉費心機
羅唆	囉唆
打篹	打算
出你	祝你
預聞	與聞
在考	在烤
慘澹	慘淡
應爲	因爲
壇花一現	曇花一現
產玲	產齡
所以問題	所有問題
自抱自棄	自暴自棄
傾刻之間	頃刻之間
一幅手套	一副手套
讓後	然後
尚待商確	尚待商榷
裝做	裝作
骨瘦如豺	骨瘦如柴
共喜	恭喜
和一點飲料	喝一點飲料
不咀導	不知道
相對的提高	相對地提高
湖塗	糊塗
